id,codigo,dimensao,criterio,classificacao,ordem
1,1.1,Informações Prioritárias,Possui sítio oficial próprio na internet?,Essencial,0
2,2023-02-01,Informações Prioritárias,Possui portal da transparência próprio ou compartilhado na internet?,Essencial,0
3,2023-03-01,Informações Prioritárias,O acesso ao portal transparência está visível na capa do site?,Obrigatória,0
4,2023-04-01,Informações Prioritárias,O site contém ferramenta de pesquisa de conteúdo que permita o acesso à informação?,Obrigatória,0
5,2.1,Informações Institucionais,Divulga a sua estrutura organizacional?,Obrigatória,0
6,2.2,Informações Institucionais,Divulga competências e/ou atribuições?,Obrigatória,0
7,2.3,Informações Institucionais,Identifica o nome dos responsáveis pela gestão do Poder/Órgão?,Obrigatória,0
8,2.4,Informações Institucionais,Divulga os endereços e telefones da entidade e e-mails institucionais?,Obrigatória,0
9,2023-05-02,Informações Institucionais,Divulga o horário de atendimento?,Obrigatória,0
10,2023-06-02,Informações Institucionais,Divulga os atos normativos próprios?,Obrigatória,0
11,2023-07-02,Informações Institucionais,Divulga as perguntas e respostas mais frequentes relacionadas às atividades desenvolvidas pelo Poder/Órgão?,Obrigatória,0
12,2023-08-02,Informações Institucionais,"Participa em redes sociais e apresenta, no seu sítio institucional, link de acesso ao seu perfil?",Recomendada,0
13,2023-09-02,Informações Institucionais,Inclui botão do Radar no site institucional,Recomendada,0
14,3.1,Receita,"Divulga as receitas do Poder ou órgão, evidenciando sua previsão e realização?",Essencial,0
15,4.1,Despesa,"Divulga o total das despesas empenhadas, liquidadas e pagas?",Essencial,0
16,4.2,Despesa,Divulga as despesas por classificação orçamentária?,Essencial,0
17,4.3,Despesa,"Possibilita a consulta de empenhos  com os detalhes do beneficiário do pagamento ou credor, o bem fornecido ou serviço prestado e a identificação do procedimento licitatório originário da despesa?",Essencial,0
18,2023-01-05,Convênios e Transferências,"Divulga as transferências recebidas a partir da celebração de convênios/acordos com indicação, no mínimo, do número/ano do 
convênio/termo ou ajuste, do valor total previsto dos recursos envolvidos, 
do valor recebido, do objeto, da vigência, da origem (órgão 
repassador/concedente) e o inteiro teor do instrumento de convênio/transferência?",Obrigatória,0
19,2023-02-05,Convênios e Transferências,"Divulga as transferências realizadas a partir da celebração de 
convênios/acordos/ajustes, com indicação, no mínimo, do número/ano do convênio/termo ou ajuste, do beneficiário, do objeto, da vigência, do valor total previsto para repasse, do valor concedido e inteiro teor do instrumento de convênio/termo ou ajuste?",Obrigatória,0
20,2023-03-05,Convênios e Transferências,"Divulga os acordos firmados que não envolvam transferência de recursos 
financeiros, identificando as partes, o número/ano do convênio/termo ou 
ajuste, o objeto, a vigência, as obrigações ajustadas e o inteiro teor do 
instrumento de convênio/termo ou ajuste?",Obrigatória,0
21,2023-01-06,Recursos humanos,"Divulga a relação nominal dos servidores/autoridades/Membros, seus cargos/funções, as respectivas lotações, as suas datas de admissão/exoneração/inativação e a carga horária semanal do cargo/função ocupada/desempenhada?",Obrigatória,0
22,2023-02-06,Recursos humanos,Divulga a remuneração nominal de cada servidor/autoridade/Membro?,Obrigatória,0
23,2023-03-06,Recursos humanos,Divulga a tabela com o padrão remuneratório dos cargos e funções?,Obrigatória,0
24,2023-04-06,Recursos humanos,"Divulga a lista de seus estagiários, contendo o nome dos estudantes; a 
data de contratação e a data de término do respectivo contrato?",Recomendada,0
25,2023-05-06,Recursos humanos,"Publica lista dos terceirizados que prestam serviços para o Poder ou 
órgão/entidades, contendo, em relação a cada um deles: nome completo, 
função ou atividade exercida e nome da empresa empregadora?",Recomendada,0
26,2023-06-06,Recursos humanos,Divulga a íntegra dos editais de concursos e seleções públicas realizados pelo Poder ou órgão para provimento de cargos e empregos públicos?,Obrigatória,0
27,6.7,Recursos humanos,"Divulga informações sobre os demais atos dos concursos públicos e 
processos seletivos do Poder ou órgão, contendo no mínimo a lista de 
aprovados com as classificações e as nomeações?",Obrigatória,0
28,2023-01-07,Diárias,"Divulga o nome e o cargo/função do beneficiário, além do número de diárias usufruídas por afastamento, período de afastamento, motivo do afastamento e local de destino?",Obrigatória,0
29,2023-02-07,Diárias,"Divulga tabela ou relação que explicite os valores das diárias dentro do Estado, fora do Estado e fora do país, conforme legislação local?",Obrigatória,0
30,2023-01-08,Licitações,"Divulga a relação das licitações em ordem sequencial, informando o número e modalidade licitatória, o objeto, valor estimado/homologado e a situação?",Obrigatória,0
31,2023-02-08,Licitações,Divulga a íntegra dos editais de licitação?,Obrigatória,0
32,2023-03-08,Licitações,Divulga a íntegra dos demais documentos das fases interna e externa das licitações?,Obrigatória,0
33,2023-04-08,Licitações,Divulga a íntegra dos principais documentos dos processos de dispensa e inexigibilidade de licitação?,Obrigatória,0
34,2023-05-08,Licitações,Divulga a íntegra das Atas de Adesão - SRP?,Obrigatória,0
35,2023-06-08,Licitações,"Divulga o plano de contratações anual  (art. 12,VII, da Lei n. 14.133)?",Recomendada,0
36,2023-07-08,Licitações,Divulga a relação dos licitantes e/ou contratados sancionados administrativamente pelo Poder/órgão)?,Recomendada,0
37,2023-01-09,Contratos,"Divulga a relação dos contratos celebrados em ordem sequencial, com o seu respectivo resumo, contendo, no mínimo, indicação do contratado(a), do valor, do objeto e da vigência, bem como dos aditivos deles decorrentes?",Obrigatória,0
38,2023-02-09,Contratos,Divulga o inteiro teor dos contratos e dos respectivos termos aditivos?,Obrigatória,0
39,2023-03-09,Contratos,Divulga a relação/lista dos Fiscais dos contratos vigentes e encerrados?,Obrigatória,0
40,2023-04-09,Contratos,"Divulga a ordem cronológica de seus pagamentos, bem como as justificativas que fundamentarem a eventual alteração dessa ordem?",Obrigatória,0
41,2023-01-10,Obras,"Divulga informações sobre obras: data de início, etapas, percentual concluído, status e previsão de conclusão?",Recomendada,0
42,2023-02-10,Obras,Divulga os quantitativos e os preços unitários e totais contratados?,Obrigatória,0
43,2023-03-10,Obras,Divulga os quantitativos executados e os preços praticados?,Obrigatória,0
44,2023-04-10,Obras,"Divulga relação das obras paralisadas contendo o motivo,  o responsável pela inexecução temporária do objeto do contrato e a data prevista para o reinício da sua execução?",Obrigatória,0
45,2023-01-11,Planejamento e Prestação de Contas,Publica a Prestação de Contas do Ano Anterior (Balanço Geral)?,Obrigatória,0
46,2023-02-11,Planejamento e Prestação de Contas,Divulga o Relatório de Gestão ou Atividades?,Obrigatória,0
47,2023-03-11,Planejamento e Prestação de Contas,Divulga o resultado da apreciação e/ou julgamento das contas pelo Tribunal de Contas?,Obrigatória,0
48,2023-05-11,Planejamento e Prestação de Contas,Divulga o Relatório de Gestão Fiscal (RGF)?,Essencial,0
49,2023-07-11,Planejamento e Prestação de Contas,Divulga os objetivos estratégicos da instituição e os indicadores definidos para mensurar o alcance desses objetivos (plano estratégico institucional ou instrumento equivalente)?,Recomendada,0
50,2023-01-12,SIC,Indica a unidade/setor responsável pelo SIC?,Obrigatória,0
51,2023-02-12,SIC,"Indica o endereço físico, o telefone e o e-mail da unidade responsável pelo  SIC, além do horário de funcionamento?",Obrigatória,0
52,2023-03-12,SIC,Há possibilidade de envio de pedidos de informação de forma eletrônica (e­SIC)?,Obrigatória,0
53,2023-04-12,SIC,"A solicitação por meio de eSic é simples, ou seja, sem a exigência de itens de identificação do requerente que dificultem ou impossibilitem o acesso à informação, tais como: envio de documentos, assinatura reconhecida, declaração de responsabilidade, maioridade?",Obrigatória,0
54,2023-05-12,SIC,"Divulga nesta seção, instrumento normativo local que regulamente a Lei nº 12.527/2011 - LAI?",Obrigatória,0
55,2023-06-12,SIC,"Divulga, na seção relativa ao e-SIC, os prazos de resposta ao cidadão, incluindo o recursal, e as autoridades competentes para o exame dos pedidos, além do procedimento referente à realização do pedido e de eventual recurso?",Recomendada,0
56,2023-07-12,SIC,"Divulga relatório anual estatístico contendo a quantidade de pedidos de acesso recebidos, atendidos, indeferidos, bem como informações genéricas sobre os solicitantes?",Obrigatória,0
57,2023-08-12,SIC,"Divulga lista de documentos classificados em cada grau de sigilo, contendo pelo menos o assunto sobre o qual versa a informação, a categoria na qual ela se encontra, o dispositivo legal que fundamenta a classificação e o respectivo prazo?",Obrigatória,0
58,2023-09-12,SIC,Divulga lista das informações que tenham sido desclassificadas nos últimos 12 (doze) meses?”,Obrigatória,0
59,2023-01-13,Acessibilidade,O site oficial e o portal de transparência contêm símbolo de acessibilidade em destaque?,Obrigatória,0
60,2023-02-13,Acessibilidade,O site e o portal de transparência contêm exibição do “caminho” de páginas percorridas pelo usuário?,Obrigatória,0
61,2023-03-13,Acessibilidade,O site e o portal de transparência contêm opção de alto contraste?,Obrigatória,0
62,2023-04-13,Acessibilidade,O site e o portal de transparência contêm ferramenta de redimensionamento de texto?,Obrigatória,0
63,2023-05-13,Acessibilidade,Contém mapa do site institucional?,Recomendada,0
64,2023-01-14,Ouvidoria,"Há informações sobre o atendimento presencial pela Ouvidoria (Indicação de endereço físico, telefone e e-mail da unidade responsável, além do horário de funcionamento)?",Obrigatória,0
65,2023-02-14,Ouvidoria,Divulga Carta de Serviços ao Usuário?,Obrigatória,0
66,2023-03-14,Ouvidoria,Há canal eletrônico de acesso/interação com o Poder ou órgão (Ouvidoria e/ou Fale Conosco)?,Obrigatória,0
67,2023-01-15,LGPD e Governo Digital,Identifica o encarregado/responsável pelo tratamento de dados pessoais e disponibiliza Canal de Comunicação (telefone e/ou e-mail)?,Obrigatória,0
68,2023-02-15,LGPD e Governo Digital,Publica a sua Política de Privacidade e Proteção de Dados?,Recomendada,0
69,2023-03-15,LGPD e Governo Digital,"Possibilita a demanda e o acesso a serviços públicos por meio digital, sem necessidade de solicitação presencial?",Obrigatória,0
70,2023-04-15,LGPD e Governo Digital,"Possibilita o acesso automatizado por sistemas externos em formatos abertos, estruturados e legíveis por máquina?",Obrigatória,0
71,2023-05-15,LGPD e Governo Digital,Regulamenta a Lei Federal nº 14.129/2021 e divulga a normativa em seu portal?,Recomendada,0
72,2023-06-15,LGPD e Governo Digital,Realiza e divulga resultados de pesquisas de satisfação?,Obrigatória,0
73,2023-01-20,Atividades Finalísticas - PL,"Divulga a composição da Casa, com a biografia dos parlamentares?",Obrigatória,0
74,2023-02-20,Atividades Finalísticas - PL,Divulga as leis e atos infralegais (resoluções/decretos) produzidos?,Obrigatória,0
75,2023-03-20,Atividades Finalísticas - PL,"Divulga projetos de leis e de atos infralegais, bem como as respectivas tramitações (contemplando ementa, documentos anexos, situação atual, autor, relator)?",Obrigatória,0
76,2023-04-20,Atividades Finalísticas - PL,Divulga a pauta das sessões do Plenário?,Obrigatória,0
77,2023-05-20,Atividades Finalísticas - PL,Divulga a pauta das Comissões?,Obrigatória,0
78,2023-06-20,Atividades Finalísticas - PL,"Divulga as atas das sessões, incluindo a lista de presença dos parlamentares em cada sessão?",Obrigatória,0
79,2023-07-20,Atividades Finalísticas - PL,Divulga lista sobre as votações nominais?,Recomendada,0
80,2023-08-20,Atividades Finalísticas - PL,Divulga o ato que aprecia as Contas do Chefe do Poder Executivo (Decreto) e o teor do julgamento (Ata ou Resumo da Sessão que aprovou ou rejeitou as contas)?,Obrigatória,0
81,2023-09-20,Atividades Finalísticas - PL,"Há transmissão de sessões, audiências públicas,  consultas públicas ou outras formas de participação popular via meios de comunicação como rádio, TV, internet, entre outros",Recomendada,0
82,2023-10-20,Atividades Finalísticas - PL,Divulga a regulamentação e os valores relativos às cotas para exercício da atividade parlamentar/verba indenizatória?,Recomendada,0
83,2023-11-20,Atividades Finalísticas - PL,Divulga dados sobre as atividades legislativas dos parlamentares?,Recomendada,0
